project_id,project_progress,task_completion_rate,blocked_task_ratio,overdue_task_ratio,requirement_completion_rate,milestone_completion_rate,open_issue_count,critical_issue_count,api_test_failure_rate,avg_api_response_time_ms,technical_review_score,days_remaining,development_velocity,risk_level
DP-1575,46.04,61.04,6.86,11.77,35.74,49.01,2,0,11.36,257.4,80.48,40,5.34,LOW
DP-1576,82.36,69.06,15.5,1.17,54.35,81.14,5,1,7.31,234.63,83.65,10,6.17,MEDIUM
DP-1577,50.84,48.21,2.2,4.72,66.89,42.24,5,1,8.82,248.12,95.23,34,3.57,MEDIUM
DP-1578,73.43,79.34,0.0,6.18,63.66,62.07,1,0,6.86,226.39,83.6,36,6.11,LOW
DP-1579,34.83,35.37,3.03,5.17,32.99,43.54,5,1,12.99,290.66,86.88,13,2.99,HIGH
DP-1580,41.48,46.2,5.52,6.53,34.73,66.68,3,0,7.95,227.69,78.01,34,2.06,MEDIUM
DP-1581,29.67,29.2,11.54,9.58,20.2,31.03,2,0,9.62,169.45,82.47,77,2.25,MEDIUM
DP-1582,40.82,36.07,0.32,1.97,49.27,45.83,1,1,0.21,80.0,86.46,27,3.27,MEDIUM
DP-1583,62.23,63.12,0.0,8.44,59.56,77.98,1,0,4.51,90.77,76.36,52,5.31,LOW
DP-1584,69.33,80.76,8.07,0.0,47.8,56.1,2,0,9.14,258.19,86.83,67,5.41,LOW
DP-1585,65.81,83.57,7.64,0.0,74.39,72.16,3,1,14.01,234.8,77.38,10,5.87,MEDIUM
DP-1586,85.82,80.85,0.0,3.48,59.66,100.0,0,0,6.23,204.57,86.8,40,6.07,LOW
DP-1587,60.23,55.77,0.63,0.27,48.45,59.18,4,0,0.0,167.9,91.45,26,4.42,LOW
DP-1588,68.66,86.64,2.48,12.5,85.94,92.14,4,1,0.0,131.89,82.48,11,6.3,LOW
DP-1589,57.15,56.55,0.0,2.41,59.53,70.71,2,0,1.72,325.33,86.15,19,4.07,LOW
DP-1590,52.25,47.81,7.22,3.61,57.53,31.35,4,0,1.53,80.0,84.25,10,3.94,MEDIUM
DP-1591,66.22,57.7,7.44,0.51,78.63,62.63,2,0,10.76,194.45,87.35,14,3.61,MEDIUM
DP-1592,90.85,84.18,0.0,0.0,75.62,90.79,1,0,9.86,288.33,76.59,37,6.63,LOW
DP-1593,34.46,28.44,5.71,5.58,40.79,15.54,3,1,7.47,180.02,86.01,9,1.56,HIGH
DP-1594,58.82,48.95,2.16,0.0,61.54,45.68,6,2,6.75,251.76,75.6,41,4.98,HIGH
DP-1595,67.07,56.27,3.28,0.0,56.21,56.52,2,0,8.78,238.02,82.88,19,4.51,LOW
DP-1596,59.7,54.21,0.73,4.27,47.27,49.22,2,0,7.51,148.36,88.42,25,3.9,LOW
DP-1597,29.06,28.88,1.65,6.01,10.47,12.85,2,0,7.13,221.7,84.92,56,2.94,MEDIUM
DP-1598,29.93,12.52,6.89,6.52,23.13,28.33,9,1,9.2,259.01,75.24,27,3.16,HIGH
DP-1599,49.87,33.48,0.0,1.95,55.51,47.78,2,1,11.9,163.1,87.59,14,2.95,LOW
DP-1600,40.93,51.38,5.82,3.95,37.15,34.31,4,0,14.85,253.64,82.69,69,4.59,MEDIUM
DP-1601,87.89,100.0,0.0,2.96,74.13,81.64,2,0,7.09,155.57,96.16,34,7.94,LOW
DP-1602,71.99,76.17,6.04,0.0,70.09,75.37,4,0,6.9,249.41,79.75,5,5.49,LOW
DP-1603,41.94,35.5,4.41,7.57,14.45,50.65,4,0,0.94,178.72,85.35,37,3.8,MEDIUM
DP-1604,59.89,67.59,3.48,6.84,53.35,61.64,3,0,14.1,230.57,93.11,31,5.41,MEDIUM
DP-1605,89.87,86.08,7.53,10.88,85.77,100.0,1,0,0.0,147.33,89.59,12,6.69,LOW
DP-1606,56.87,46.0,2.53,0.0,49.27,64.05,4,1,11.74,413.76,94.83,2,2.83,MEDIUM
DP-1607,38.94,28.59,2.43,0.0,47.41,53.47,8,1,9.34,277.43,87.92,51,2.88,MEDIUM
DP-1608,84.93,87.85,0.71,1.2,71.68,77.85,2,1,2.56,235.17,81.94,41,5.06,LOW
DP-1609,76.53,100.0,3.33,7.79,92.89,67.16,1,0,8.84,276.56,79.79,24,6.45,LOW
DP-1610,80.5,91.99,0.0,8.43,74.16,68.83,1,0,12.91,191.38,84.08,41,6.31,LOW
DP-1611,66.25,59.91,0.48,3.23,89.6,79.72,2,0,4.8,256.61,89.29,36,4.45,LOW
DP-1612,53.42,50.46,14.08,5.31,46.55,73.35,5,1,12.77,162.17,86.82,25,3.17,HIGH
DP-1613,64.41,83.07,0.69,0.0,61.89,55.97,2,0,6.4,230.28,84.47,14,5.98,LOW
DP-1614,81.54,98.37,3.47,0.56,75.36,100.0,3,0,10.98,173.63,89.08,47,7.14,LOW
DP-1615,27.4,43.45,7.5,1.96,5.0,26.25,7,1,10.04,262.9,86.26,18,3.96,HIGH
DP-1616,52.03,53.4,0.0,0.0,59.24,45.67,9,3,11.34,146.32,88.19,20,3.69,HIGH
DP-1617,51.03,55.92,0.0,19.71,71.23,43.61,7,0,1.78,183.45,84.66,24,4.17,LOW
DP-1618,31.85,33.98,12.02,3.26,56.9,25.83,5,1,19.38,270.95,92.12,47,4.37,HIGH
DP-1619,57.4,46.83,2.4,8.56,79.34,30.55,4,1,3.87,167.24,93.55,30,4.63,MEDIUM
DP-1620,59.5,62.07,4.22,2.8,62.92,60.7,2,0,5.19,213.72,65.91,13,4.23,LOW
DP-1621,39.55,46.62,8.91,0.4,17.09,31.72,4,1,11.33,195.01,85.34,35,2.73,MEDIUM
DP-1622,62.41,79.37,4.06,0.0,63.72,91.75,8,0,1.17,81.19,69.12,25,5.54,LOW
DP-1623,77.77,69.24,0.0,0.17,60.83,77.63,4,0,9.78,96.56,77.61,25,6.04,LOW
DP-1624,66.0,76.03,10.29,0.0,70.68,71.25,3,0,14.52,156.12,78.01,44,6.34,LOW
DP-1625,65.4,54.67,16.87,0.0,72.26,70.27,1,0,12.22,184.11,88.53,16,3.16,LOW
DP-1626,31.77,42.03,9.68,7.89,31.59,36.49,7,0,10.73,162.64,74.51,48,3.1,MEDIUM
DP-1627,45.16,65.04,10.28,3.3,5.45,42.23,6,1,4.88,281.59,84.48,32,5.98,MEDIUM
DP-1628,44.1,66.71,2.32,0.0,29.72,54.63,3,0,8.95,278.41,81.18,45,4.94,LOW
DP-1629,64.12,53.81,10.86,1.1,68.25,68.71,6,1,6.07,183.45,84.65,29,4.22,MEDIUM
DP-1630,63.64,85.73,2.23,6.69,57.66,65.07,5,0,15.7,191.56,76.39,28,6.45,LOW
DP-1631,64.86,44.37,0.0,11.51,55.59,42.78,3,0,6.67,151.88,86.1,8,2.58,MEDIUM
DP-1632,53.6,52.33,5.02,7.15,80.07,77.07,4,2,0.0,310.93,67.5,8,4.91,MEDIUM
DP-1633,51.89,37.81,9.02,15.85,47.97,54.11,4,0,10.62,243.26,84.78,63,1.47,MEDIUM
DP-1634,87.83,100.0,3.68,0.0,89.0,98.16,1,0,3.32,252.51,76.12,20,5.78,LOW
DP-1635,76.0,75.61,0.0,4.05,80.73,78.49,2,1,0.0,166.41,92.35,28,5.86,LOW
DP-1636,32.91,45.34,7.22,0.0,15.77,22.56,7,1,20.05,111.13,80.24,32,3.48,HIGH
DP-1637,64.98,53.03,0.0,10.21,59.62,56.64,3,1,3.53,181.56,85.45,58,4.56,LOW
DP-1638,22.55,6.2,3.82,11.7,42.93,0.37,4,0,12.66,342.43,83.31,28,1.07,HIGH
DP-1639,50.99,33.43,9.52,10.98,44.9,34.14,4,1,15.59,159.24,98.82,48,2.47,MEDIUM
DP-1640,51.78,64.66,9.41,16.59,62.74,46.91,7,1,9.52,122.12,78.23,28,3.7,MEDIUM
DP-1641,82.05,100.0,5.93,2.93,91.36,80.96,1,0,11.77,269.92,86.35,34,7.3,LOW
DP-1642,71.6,57.05,0.0,0.72,91.36,75.56,0,0,7.47,171.55,92.0,23,4.29,LOW
DP-1643,88.51,100.0,0.0,0.0,89.68,84.7,1,0,14.19,260.36,80.69,6,6.96,LOW
DP-1644,69.07,58.12,3.64,0.0,52.06,72.21,4,0,0.0,281.55,94.74,8,4.28,LOW
DP-1645,38.19,42.17,6.16,19.95,27.69,38.5,7,2,18.28,95.99,81.12,39,4.14,HIGH
DP-1646,62.33,58.09,8.03,3.87,45.95,56.96,2,0,15.94,174.11,70.05,22,4.66,MEDIUM
DP-1647,16.8,10.48,10.0,9.36,15.06,19.65,6,1,9.98,293.42,80.96,33,1.13,HIGH
DP-1648,67.83,52.44,0.0,0.0,61.15,65.16,0,0,5.92,112.96,85.1,43,4.4,LOW
DP-1649,75.79,88.49,0.0,0.0,67.06,87.3,8,1,19.13,212.25,80.99,42,6.39,LOW
DP-1650,72.65,80.64,5.56,3.72,37.73,66.92,6,0,5.59,196.83,98.01,14,5.31,MEDIUM
DP-1651,75.23,73.7,5.11,0.0,93.66,87.5,4,1,3.1,145.77,88.63,18,5.15,LOW
DP-1652,79.43,65.86,12.16,9.75,86.97,77.86,1,0,5.11,158.19,78.32,41,5.4,LOW
DP-1653,35.29,23.83,0.0,8.06,36.59,33.83,4,0,9.92,188.96,89.55,12,2.82,MEDIUM
DP-1654,85.18,100.0,0.0,5.23,87.78,100.0,6,0,8.08,203.87,86.05,17,6.39,LOW
DP-1655,62.93,49.5,0.0,11.01,68.63,52.72,3,1,1.73,215.85,83.98,18,4.46,LOW
DP-1656,64.89,69.85,0.98,6.87,82.18,67.98,0,0,2.54,194.46,78.82,49,4.83,LOW
DP-1657,28.29,36.82,2.61,16.12,20.9,7.37,5,0,19.11,272.35,69.46,23,3.59,HIGH
DP-1658,64.64,56.59,7.72,0.0,76.98,80.26,3,0,1.4,112.89,98.74,17,5.39,LOW
DP-1659,19.72,21.64,0.0,3.61,42.09,13.76,5,1,18.93,272.03,78.79,35,1.51,HIGH
DP-1660,65.2,71.56,0.0,1.74,81.49,66.79,4,0,8.69,158.27,82.97,16,5.83,LOW
DP-1661,68.99,60.2,9.69,0.0,53.34,58.92,4,0,8.83,154.4,80.93,22,5.01,LOW
DP-1662,83.34,78.47,4.31,0.0,82.38,81.35,3,0,1.24,101.56,83.74,6,6.24,LOW
DP-1663,74.51,73.21,0.0,0.0,80.23,75.77,9,0,4.49,127.05,95.58,32,5.53,LOW
DP-1664,92.34,93.54,0.0,0.0,97.99,100.0,3,0,8.69,279.16,85.8,12,6.8,LOW
DP-1665,66.68,81.4,0.0,7.27,81.24,72.13,6,1,9.4,250.51,81.13,37,5.99,MEDIUM
DP-1666,60.29,42.31,2.3,10.1,72.42,72.97,4,0,17.03,227.96,81.64,73,2.81,MEDIUM
DP-1667,51.32,36.8,6.36,1.58,32.34,69.73,7,0,9.3,168.94,87.0,54,3.22,MEDIUM
DP-1668,26.14,17.92,8.46,10.37,56.3,29.74,2,0,15.58,264.38,77.8,32,1.81,MEDIUM
DP-1669,58.64,59.25,1.74,1.07,67.71,46.16,3,0,6.26,103.24,81.93,38,6.04,MEDIUM
DP-1670,39.74,26.95,1.37,11.6,47.11,50.02,8,1,12.75,202.42,81.9,5,3.17,HIGH
DP-1671,60.94,54.74,6.03,7.36,72.64,95.99,3,0,11.02,253.43,77.52,20,5.42,LOW
DP-1672,71.17,70.65,0.0,0.0,56.51,56.71,2,0,12.19,231.69,79.74,26,5.14,LOW
DP-1673,61.42,58.9,0.0,6.76,57.19,91.28,1,0,5.5,255.17,78.46,25,3.22,LOW
DP-1674,56.56,62.66,4.95,14.26,62.0,56.62,3,0,7.5,242.38,79.14,49,3.95,LOW
DP-1675,37.41,25.77,7.2,9.02,36.99,31.93,3,1,13.74,190.59,73.95,53,2.89,HIGH
DP-1676,40.5,26.68,4.64,12.23,59.95,18.79,6,1,1.78,101.92,85.53,29,2.4,MEDIUM
DP-1677,54.62,59.69,1.87,26.11,51.48,40.42,6,2,6.61,143.34,80.99,46,5.01,MEDIUM
DP-1678,55.98,52.62,2.39,11.38,68.95,49.83,4,2,9.26,95.74,79.21,11,5.22,MEDIUM
DP-1679,71.53,64.91,0.0,7.54,86.51,87.75,5,0,0.13,243.99,75.45,19,5.27,LOW
DP-1680,62.0,46.2,1.39,9.02,46.78,58.55,3,0,13.51,216.6,80.56,66,3.73,MEDIUM
DP-1681,51.37,51.9,5.99,2.12,26.49,61.91,3,1,10.74,174.42,83.11,20,3.74,MEDIUM
DP-1682,58.21,58.8,0.36,4.86,49.55,67.66,5,0,16.24,225.45,82.95,25,5.56,LOW
DP-1683,82.28,77.78,0.0,0.62,78.62,66.16,2,1,5.53,264.78,88.03,18,5.96,LOW
DP-1684,48.67,57.11,0.0,0.0,30.96,57.63,2,0,6.89,183.64,91.83,10,4.03,MEDIUM
DP-1685,43.94,43.76,8.68,9.32,45.44,48.26,6,2,28.4,194.72,79.06,50,4.12,HIGH
DP-1686,62.88,66.61,8.41,0.28,68.35,84.36,6,1,15.23,227.39,96.86,58,4.1,MEDIUM
DP-1687,33.49,17.34,10.75,7.62,23.1,39.45,4,1,10.69,170.92,71.06,22,1.19,MEDIUM
DP-1688,44.99,52.45,0.0,5.85,37.82,33.64,2,0,11.8,154.65,91.58,48,4.26,LOW
DP-1689,73.44,58.99,3.52,7.71,66.64,87.73,2,0,13.43,329.62,79.83,41,5.17,LOW
DP-1690,61.15,62.1,0.0,0.0,73.75,78.0,1,0,0.0,224.4,92.63,20,4.34,LOW
DP-1691,51.15,56.88,0.62,0.0,50.87,29.79,3,0,17.93,214.26,84.6,24,4.31,LOW
DP-1692,91.05,83.01,0.0,0.0,87.9,88.57,2,0,0.0,354.89,91.61,12,5.72,LOW
DP-1693,50.51,30.16,7.12,11.15,45.19,43.07,5,1,5.58,294.94,90.49,33,3.53,HIGH
DP-1694,62.69,65.28,0.0,0.0,59.87,75.12,5,2,7.96,273.13,79.93,45,3.94,MEDIUM
DP-1695,16.57,6.06,10.07,10.23,16.69,22.69,14,7,18.61,263.48,73.95,27,1.99,HIGH
DP-1696,55.5,68.54,3.64,1.62,68.73,52.35,3,1,14.99,114.11,85.67,25,6.04,LOW
DP-1697,83.53,100.0,10.83,0.0,100.0,100.0,3,0,10.12,100.68,91.04,27,6.83,LOW
DP-1698,22.18,18.22,7.09,12.73,5.0,7.54,6,3,16.47,199.63,67.87,43,3.36,HIGH
DP-1699,41.83,30.9,3.06,0.0,42.06,60.62,9,2,16.43,167.31,79.84,30,3.82,HIGH
DP-1700,53.54,57.93,10.19,7.93,42.25,33.09,7,0,9.49,165.54,71.94,4,3.32,MEDIUM
DP-1701,86.32,79.39,0.0,0.0,72.88,74.98,4,0,9.34,140.72,87.79,21,6.52,LOW
DP-1702,89.81,88.53,0.11,0.0,75.76,92.43,1,0,0.13,181.49,88.09,32,5.47,LOW
DP-1703,57.84,50.0,2.38,0.0,60.93,38.58,2,1,7.48,130.13,81.5,44,4.19,LOW
DP-1704,63.62,62.88,0.0,3.11,66.44,52.29,2,1,11.82,172.33,86.77,44,2.78,MEDIUM
DP-1705,66.99,82.88,2.03,0.0,84.58,56.56,1,0,3.21,87.68,90.6,42,7.06,LOW
DP-1706,54.34,51.24,0.0,2.02,58.29,48.3,1,0,6.55,197.44,92.04,24,3.46,LOW
DP-1707,75.98,63.57,2.42,0.96,80.1,75.47,6,0,12.09,159.51,84.34,16,4.12,LOW
DP-1708,76.04,58.99,2.04,0.0,71.42,100.0,3,1,9.01,240.34,88.98,5,3.33,HIGH
DP-1709,56.7,52.21,3.11,7.28,67.91,45.51,3,0,10.7,80.0,83.75,33,2.48,LOW
DP-1710,40.12,38.68,0.28,15.19,41.93,36.2,9,3,12.0,226.36,86.8,23,3.42,HIGH
DP-1711,81.48,58.28,2.12,11.25,77.08,53.2,4,0,0.84,155.11,94.4,63,4.22,LOW
DP-1712,73.73,65.35,3.45,7.8,88.4,51.45,5,0,8.71,224.21,81.03,61,5.03,MEDIUM
DP-1713,94.75,87.32,0.0,0.0,100.0,89.44,3,0,2.17,211.86,98.17,30,7.51,LOW
DP-1714,35.5,35.04,0.0,11.37,29.23,45.31,2,0,11.35,247.14,87.57,51,4.31,MEDIUM
DP-1715,82.15,91.14,8.48,0.0,72.03,97.17,2,0,6.36,194.45,94.22,27,7.69,LOW
DP-1716,54.85,37.85,3.57,1.76,43.65,75.82,0,0,17.88,141.79,79.62,25,3.56,MEDIUM
DP-1717,29.07,31.85,8.41,4.43,54.16,30.09,2,1,9.12,331.21,77.1,29,2.47,MEDIUM
DP-1718,44.0,43.29,3.61,8.24,48.3,48.17,5,0,8.4,136.25,86.1,13,1.87,MEDIUM
DP-1719,66.58,63.11,1.82,16.14,57.45,67.67,5,1,3.62,80.0,75.93,69,6.15,MEDIUM
DP-1720,56.3,85.91,3.98,8.81,29.87,52.19,6,0,4.26,139.32,85.83,37,6.45,MEDIUM
DP-1721,65.09,75.12,3.78,0.0,62.96,57.83,6,1,7.97,183.53,83.56,6,5.79,MEDIUM
DP-1722,48.14,43.57,3.56,5.18,58.35,57.25,6,1,3.55,149.33,82.97,36,4.34,MEDIUM
DP-1723,86.77,88.52,0.66,1.84,74.2,84.22,3,1,9.13,207.7,78.97,22,6.35,LOW
DP-1724,18.01,30.03,9.25,3.02,23.08,0.0,7,0,14.87,194.39,80.31,11,3.98,HIGH
DP-1725,71.74,62.6,2.86,12.06,73.79,68.85,1,1,2.97,232.67,85.81,41,5.19,MEDIUM
DP-1726,71.27,62.66,2.34,2.77,49.94,34.68,3,0,9.48,279.91,84.88,10,4.69,LOW
DP-1727,73.76,76.05,0.0,0.0,71.84,81.59,2,0,0.0,185.68,89.81,8,5.92,LOW
DP-1728,78.81,100.0,0.0,0.0,95.55,86.6,1,0,6.89,241.84,93.14,15,6.25,LOW
DP-1729,56.65,45.21,8.33,6.99,48.39,55.68,5,1,12.88,166.53,81.97,23,3.32,MEDIUM
DP-1730,65.05,93.86,7.18,2.85,95.42,41.29,2,0,4.31,255.59,86.44,21,6.52,LOW
DP-1731,51.66,68.87,0.0,16.81,46.05,54.1,4,1,4.53,211.82,78.58,18,4.92,MEDIUM
DP-1732,91.2,100.0,1.45,3.57,100.0,95.05,0,0,0.0,143.29,84.95,24,8.0,LOW
DP-1733,82.98,85.2,0.0,13.64,83.65,94.92,2,0,0.0,162.61,85.01,15,4.25,LOW
DP-1734,40.44,40.46,5.07,0.0,18.4,53.25,6,0,14.72,209.51,82.2,37,3.62,MEDIUM
DP-1735,14.99,14.61,4.28,5.07,19.85,36.41,5,1,11.42,262.46,80.4,33,1.44,HIGH
DP-1736,84.82,63.41,3.29,5.99,85.33,82.39,2,0,2.64,212.19,92.85,12,6.73,LOW
DP-1737,45.07,55.59,0.0,2.15,53.63,44.32,8,1,14.13,319.0,84.96,43,5.39,HIGH
DP-1738,65.41,58.87,10.31,19.24,82.19,67.07,5,0,6.33,266.9,75.43,16,4.34,MEDIUM
DP-1739,43.7,54.85,9.92,0.0,41.15,49.07,1,0,11.0,185.4,83.34,39,3.92,MEDIUM
DP-1740,36.41,13.13,4.02,10.61,26.51,27.35,6,0,9.31,97.93,94.09,23,1.88,MEDIUM
DP-1741,83.35,75.02,0.0,0.0,96.71,87.38,4,0,6.48,83.02,99.04,12,6.26,LOW
DP-1742,46.31,54.97,0.0,4.41,20.8,60.15,1,0,10.35,241.28,85.9,4,4.42,LOW
DP-1743,43.97,44.36,5.81,12.19,57.06,29.47,6,1,13.51,228.62,97.91,38,2.39,MEDIUM
DP-1744,41.62,52.54,10.12,14.33,39.19,58.74,4,0,7.4,179.0,86.82,20,4.15,MEDIUM
DP-1745,63.12,62.28,8.82,7.75,56.32,96.04,1,0,10.81,235.36,81.42,36,4.86,LOW
DP-1746,35.44,30.15,0.0,8.12,34.67,15.76,6,0,10.95,269.98,76.59,18,3.63,MEDIUM
DP-1747,83.86,70.31,0.1,9.96,88.73,67.52,1,0,8.69,221.93,74.1,35,6.44,LOW
DP-1748,32.33,25.45,4.44,9.11,25.61,18.76,8,1,6.22,231.36,77.94,21,2.74,HIGH
DP-1749,41.82,32.81,8.17,2.68,40.92,44.84,2,0,14.86,139.56,81.27,10,3.84,LOW
DP-1750,42.98,53.6,10.06,17.37,15.11,42.0,7,1,8.95,124.98,85.23,12,4.89,HIGH
DP-1751,30.43,38.77,12.47,6.37,43.72,24.03,7,1,15.47,240.82,83.23,22,1.89,HIGH
DP-1752,47.35,64.43,1.72,1.62,37.11,54.53,6,0,11.43,281.41,89.98,24,4.86,MEDIUM
DP-1753,49.72,59.06,10.31,11.68,67.4,41.99,2,0,13.56,110.32,88.16,28,4.96,MEDIUM
DP-1754,29.29,57.49,12.48,1.24,11.95,45.71,6,2,10.4,132.08,81.99,32,4.77,MEDIUM
DP-1755,34.32,19.12,6.26,17.48,31.33,27.12,6,0,13.56,284.71,63.86,35,1.58,HIGH
DP-1756,67.93,74.73,8.57,4.5,56.04,84.22,2,0,0.0,204.58,79.91,11,5.3,LOW
DP-1757,40.22,32.14,10.84,1.18,64.59,48.41,4,1,11.76,253.16,91.87,6,3.57,HIGH
DP-1758,29.13,24.95,0.0,6.59,71.36,15.72,6,1,13.16,234.67,82.8,12,2.33,HIGH
DP-1759,30.06,29.68,11.05,7.3,23.51,25.52,6,1,0.0,179.07,84.55,87,4.21,MEDIUM
DP-1760,80.16,83.25,3.44,8.05,81.79,76.27,9,0,6.79,201.77,98.68,36,7.33,MEDIUM
DP-1761,81.68,98.18,0.0,7.01,100.0,73.46,2,1,6.35,122.59,89.03,60,6.96,LOW
DP-1762,48.19,52.56,4.93,14.34,52.8,71.21,1,0,11.27,152.69,80.02,30,3.37,MEDIUM
DP-1763,68.28,49.61,0.0,7.96,78.74,62.57,7,1,9.55,159.79,73.47,18,3.42,MEDIUM
DP-1764,69.65,62.63,0.0,10.34,77.62,61.34,5,0,0.0,197.45,86.25,20,5.0,LOW
DP-1765,64.27,67.6,3.54,6.33,73.91,62.53,8,1,9.16,150.29,83.3,32,5.17,MEDIUM
DP-1766,52.14,52.91,10.43,3.84,43.86,31.78,6,0,12.64,157.71,79.03,28,4.87,MEDIUM
DP-1767,23.38,30.39,6.2,9.73,30.69,0.0,7,1,11.25,129.21,89.93,37,3.57,HIGH
DP-1768,62.88,71.46,0.77,11.54,69.51,61.29,1,1,8.54,209.13,91.24,63,4.61,LOW
DP-1769,50.28,45.09,5.15,0.0,48.22,55.84,3,0,0.14,260.34,100.0,12,4.58,MEDIUM
DP-1770,26.44,21.67,1.77,21.2,36.45,24.73,6,1,14.44,206.79,61.85,5,3.13,HIGH
DP-1771,43.34,39.43,0.0,0.0,39.05,21.37,6,0,9.55,247.54,90.89,26,4.85,MEDIUM
DP-1772,58.44,47.17,9.41,0.0,31.43,60.07,3,0,14.29,284.71,85.37,63,3.64,MEDIUM
DP-1773,73.5,67.82,9.27,5.6,61.93,86.82,2,0,11.6,213.65,75.37,66,5.42,LOW
DP-1774,69.31,76.39,3.8,9.94,80.97,58.83,2,0,5.07,149.45,93.41,63,5.37,LOW
DP-1775,90.21,96.93,0.0,9.7,100.0,82.1,0,0,1.9,132.4,84.15,36,7.04,LOW
DP-1776,82.66,68.17,0.0,11.4,72.54,70.89,7,0,14.41,205.03,78.32,90,5.14,LOW
DP-1777,31.79,16.47,11.67,5.58,22.19,14.7,5,4,3.62,224.46,76.44,12,1.95,HIGH
DP-1778,54.82,33.78,12.06,1.26,68.8,63.68,5,1,8.07,282.52,93.25,5,3.89,MEDIUM
DP-1779,30.59,19.43,0.0,5.15,16.63,16.0,4,1,7.93,219.53,81.07,19,2.15,HIGH
DP-1780,56.32,48.33,3.35,2.33,36.88,45.07,2,1,11.84,224.59,84.23,73,4.51,MEDIUM
DP-1781,49.58,51.04,2.61,13.16,50.75,64.19,1,0,0.0,287.85,77.28,56,4.5,LOW
DP-1782,74.42,76.61,4.25,1.59,98.7,61.54,2,0,6.84,201.74,82.93,43,5.08,LOW
DP-1783,52.29,41.32,13.02,1.5,56.85,77.93,3,0,13.42,244.8,79.72,47,2.87,LOW
DP-1784,56.35,36.0,1.59,3.25,47.63,32.75,4,0,14.3,186.07,86.39,62,2.99,MEDIUM
DP-1785,67.34,40.37,0.0,2.3,41.03,65.03,3,2,7.75,251.09,78.98,25,2.64,MEDIUM
DP-1786,44.51,44.45,7.55,12.43,41.32,53.08,5,0,13.08,283.23,84.47,30,3.52,MEDIUM
DP-1787,32.17,33.92,7.75,4.17,10.77,24.4,3,1,14.02,159.48,85.12,47,2.98,HIGH
DP-1788,39.03,51.1,11.54,20.97,39.16,41.66,8,0,20.15,241.37,80.72,11,3.81,HIGH
DP-1789,39.62,54.45,8.74,11.74,50.63,52.67,5,0,6.61,268.07,88.31,19,3.53,MEDIUM
DP-1790,51.95,55.71,1.11,10.01,67.88,52.2,6,0,20.26,208.34,88.76,20,4.72,LOW
DP-1791,38.86,28.66,16.22,0.82,35.67,47.26,6,0,13.9,148.65,85.07,65,1.89,HIGH
DP-1792,37.49,33.89,5.67,8.55,29.74,47.3,7,0,11.9,148.3,85.78,15,3.77,MEDIUM
DP-1793,19.69,20.98,10.35,16.43,46.73,30.57,8,1,13.99,312.97,83.44,23,2.46,HIGH
DP-1794,95.45,100.0,0.05,3.16,93.84,93.85,1,0,0.0,132.17,87.02,40,6.52,LOW
DP-1795,85.37,83.18,4.03,3.27,78.77,82.24,2,0,1.74,196.43,86.92,40,5.64,LOW
DP-1796,44.82,51.56,20.74,4.04,26.04,44.51,5,1,13.5,186.46,92.99,22,3.46,HIGH
DP-1797,76.57,77.52,13.61,0.0,58.95,74.04,1,0,5.65,103.66,81.49,75,4.98,MEDIUM
DP-1798,22.46,44.52,7.6,18.01,35.65,12.68,7,0,15.04,165.23,86.03,42,3.11,HIGH
DP-1799,41.63,41.97,1.7,9.67,21.35,44.91,5,1,8.36,124.62,82.73,61,3.98,HIGH
DP-1800,79.68,84.32,0.0,4.96,72.99,91.06,1,0,11.55,172.43,89.03,20,5.48,LOW
DP-1801,73.01,87.42,0.0,0.0,71.97,54.03,6,1,14.7,212.7,91.83,17,6.52,LOW
DP-1802,44.66,53.75,4.65,5.75,31.34,44.14,3,0,6.35,90.0,86.77,22,3.27,LOW
DP-1803,31.53,29.15,4.94,12.81,8.05,52.88,6,0,13.21,215.82,72.51,65,1.7,HIGH
DP-1804,88.75,90.58,0.0,0.0,83.32,91.35,2,1,1.34,140.94,97.14,13,5.06,LOW
DP-1805,36.88,33.88,8.14,9.24,15.51,51.06,4,3,7.24,253.45,77.25,53,2.99,HIGH
DP-1806,31.78,40.23,10.68,4.37,50.11,61.39,6,1,14.26,288.17,88.15,20,3.04,HIGH
DP-1807,26.97,28.62,11.97,1.65,16.62,22.82,6,2,9.05,192.0,72.79,5,2.76,HIGH
DP-1808,42.51,70.31,12.17,21.15,46.53,51.95,7,0,16.86,211.63,65.81,19,5.01,HIGH
DP-1809,68.02,58.47,2.09,0.0,45.21,78.06,2,0,1.1,180.99,100.0,51,4.4,LOW
DP-1810,31.31,11.83,4.1,5.53,24.88,50.6,3,1,9.57,153.59,79.7,50,1.88,MEDIUM
DP-1811,82.26,73.04,0.0,1.89,67.41,88.33,4,0,0.0,182.84,80.89,80,5.46,LOW
DP-1812,94.84,90.99,0.0,5.42,91.97,100.0,2,0,0.0,118.67,97.22,7,6.37,LOW
DP-1813,47.34,56.81,9.97,4.6,28.99,44.7,4,0,14.86,197.52,88.82,35,3.16,MEDIUM
DP-1814,74.15,56.43,5.81,4.1,81.93,78.73,5,0,5.57,142.36,94.44,11,3.74,LOW
DP-1815,48.2,59.94,2.64,5.14,51.61,40.25,6,0,12.95,125.88,83.44,12,3.81,HIGH
DP-1816,86.01,100.0,4.84,8.1,100.0,91.96,3,0,14.36,213.32,72.0,31,6.41,LOW
